Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel
310.84,96,Medium,17-02-2022,5,Ice Cream,Dodla Dairy,222.4,85.72,19064.128,Frozen,27-12-2021,21-01-2022,7,82.24,575.68,Madhya Pradesh,Wholesale
19.19,44,Large,01-12-2021,1,Milk,Amul,687.48,42.61,29293.5228,Tetra Pack,03-10-2021,25-10-2021,558,39.24,21895.92,Kerala,Wholesale
581.69,24,Medium,28-02-2022,4,Yogurt,Dodla Dairy,503.48,36.5,18377.02,Refrigerated,14-01-2022,13-02-2022,256,33.81,8655.36,Madhya Pradesh,Online
908,89,Small,09-06-2019,3,Cheese,Britannia Industries,823.36,26.52,21835.5072,Frozen,15-05-2019,26-07-2019,601,28.92,17380.92,Rajasthan,Online
861.95,21,Medium,14-12-2020,8,Buttermilk,Mother Dairy,147.77,83.85,12390.5145,Refrigerated,17-10-2020,28-10-2020,145,83.07,12045.15,Jharkhand,Retail
87.64,51,Medium,07-01-2019,6,Curd,Raj,593.92,85.54,50803.9168,Refrigerated,03-01-2019,08-01-2019,74,84.75,6271.5,Gujarat,Retail
73.28,74,Small,05-08-2022,3,Cheese,Dynamix Dairies,757.14,36.83,27885.4662,Frozen,14-06-2022,05-09-2022,410,32.66,13390.6,Karnataka,Online
67.61,77,Medium,14-02-2019,9,Paneer,Mother Dairy,203.36,29.08,5913.7088,Refrigerated,06-01-2019,20-01-2019,15,29.09,436.35,Haryana,Online
72.31,76,Medium,02-08-2020,6,Curd,Raj,949.12,22.79,21630.4448,Refrigerated,06-06-2020,12-06-2020,860,24.77,21302.2,Jharkhand,Wholesale
413.24,36,Large,04-03-2022,8,Buttermilk,Mother Dairy,385.64,42.08,16227.7312,Refrigerated,03-02-2022,12-02-2022,108,46.15,4984.2,Tamil Nadu,Retail
867.78,82,Small,22-12-2021,4,Yogurt,Dodla Dairy,52.62,67.23,3537.6426,Refrigerated,02-11-2021,26-11-2021,22,68.09,1497.98,Kerala,Wholesale
648.52,99,Small,14-10-2020,7,Lassi,Sudha,653.04,84.6,55247.184,Refrigerated,22-08-2020,05-09-2020,345,88.05,30377.25,Karnataka,Online
236.72,81,Large,18-02-2020,3,Cheese,Passion Cheese,12.39,58.28,722.0892,Refrigerated,18-01-2020,27-03-2020,1,58.09,58.09,West Bengal,Retail
856,39,Large,26-12-2019,5,Ice Cream,Mother Dairy,612.16,94.43,57806.2688,Frozen,15-12-2019,09-01-2020,80,94.32,7545.6,Madhya Pradesh,Online
182.28,70,Medium,10-04-2022,5,Ice Cream,Dodla Dairy,797.69,88.66,70723.1954,Frozen,26-03-2022,23-04-2022,645,93.51,60313.95,Karnataka,Retail
