Bihar,Chandigarh,Delhi,Gujarat,Haryana,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Rajasthan,Tamil Nadu,Telangana,Uttar Pradesh,West Bengal
65,115,119,61,57,56,63,63,56,61,52,61,42,61,61
6,2,10,1,6,4,4,4,7,6,6,6,9,11,3
14,31,22,7,11,14,16,10,14,13,12,12,14,12,10
5,11,8,5,8,7,3,10,5,9,5,7,3,7,4
60,110,108,58,56,48,68,48,64,58,54,56,53,53,67
17,20,24,10,9,12,11,17,16,15,9,14,11,6,10
8,17,8,9,6,4,9,2,3,2,4,8,4,9,5
6,15,9,2,6,5,4,9,2,3,3,6,4,3,12
41,64,87,41,23,45,29,49,35,43,31,35,52,39,33
32,69,72,33,32,33,38,32,32,40,36,41,45,45,40
6,9,14,7,3,3,6,4,2,8,8,8,5,10,4
