Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel
150.09,23,Large,2021-10-03,8,Buttermilk,Amul,659.16,11.07,7296.9012,Refrigerated,2021-09-06,2021-09-15,31,11.34,351.54,West Bengal,Online
297.1,46,Small,2020-05-22,10,Ghee,Amul,217.19,56.6,12292.954,Ambient,2020-05-09,2020-09-13,193,54.87,10589.91,Chandigarh,Wholesale
499.47,49,Large,2019-10-21,7,Lassi,Sudha,45.21,53.34,2411.5014,Refrigerated,2019-10-03,2019-10-16,41,57.79,2369.39,Haryana,Retail
743.95,93,Medium,2021-03-11,5,Ice Cream,Dodla Dairy,334.02,41.27,13785.0054,Frozen,2021-02-17,2021-03-10,122,37.96,4631.12,Delhi,Online
932.48,37,Medium,2020-05-18,2,Butter,Amul,28.08,81.67,2293.2936,Frozen,2020-04-30,2020-05-28,2,85.59,171.18,Haryana,Wholesale
762.18,56,Small,2020-09-15,8,Buttermilk,Amul,513.9,35.89,18443.871,Refrigerated,2020-08-27,2020-09-04,176,35.61,6267.36,Haryana,Retail
970.88,86,Medium,2020-09-17,1,Milk,Raj,741.09,45.84,33971.5656,Polythene Packet,2020-07-27,2020-07-28,221,46.28,10227.88,Madhya Pradesh,Retail
815.61,90,Small,2019-12-02,8,Buttermilk,Mother Dairy,510.38,27.96,14270.2248,Refrigerated,2019-10-12,2019-10-20,357,26.4,9424.8,Madhya Pradesh,Retail
490.22,66,Large,2021-08-21,1,Milk,Sudha,904.53,21.58,19519.7574,Polythene Packet,2021-07-13,2021-07-15,129,22.4,2889.6,Maharashtra,Online
79.6,80,Small,2022-12-24,2,Butter,Amul,360.98,25.11,9064.2078,Refrigerated,2022-12-20,2023-01-19,332,24.38,8094.16,Uttar Pradesh,Wholesale
299.44,36,Small,2022-06-21,7,Lassi,Amul,554.62,25.81,14314.7422,Refrigerated,2022-06-12,2022-06-27,225,25.78,5800.5,Maharashtra,Wholesale
581.95,98,Small,2020-04-01,8,Buttermilk,Amul,710.77,99.99,71069.8923,Refrigerated,2020-03-19,2020-04-01,37,95.89,3547.93,Kerala,Online
697.61,32,Medium,2022-06-09,1,Milk,Sudha,880.17,47.88,42142.5396,Polythene Packet,2022-06-03,2022-06-05,575,52.4,30130.0,Chandigarh,Retail
303.89,78,Small,2022-11-05,8,Buttermilk,Amul,202.6,75.88,15373.288,Refrigerated,2022-10-28,2022-11-04,98,79.35,7776.3,Jharkhand,Online
65.62,38,Large,2022-01-13,10,Ghee,Mother Dairy,519.36,76.19,39570.0384,Ambient,2022-01-03,2022-04-06,506,75.36,38132.16,West Bengal,Online
409.51,99,Large,2019-02-28,8,Buttermilk,Raj,932.18,92.75,86459.695,Refrigerated,2018-12-30,2019-01-13,317,93.46,29626.82,Delhi,Wholesale
563.1,81,Small,2021-11-25,5,Ice Cream,Palle2patnam,278.58,93.01,25910.7258,Frozen,2021-10-19,2021-11-15,109,94.07,10253.63,Karnataka,Retail
89.68,55,Large,2021-09-01,1,Milk,Sudha,417.64,86.3,36042.332,Polythene Packet,2021-08-28,2021-08-29,297,82.12,24389.64,Chandigarh,Online
408.05,21,Large,2021-03-10,3,Cheese,Passion Cheese,846.54,35.34,29916.7236,Refrigerated,2021-02-15,2021-03-21,117,36.52,4272.84,Haryana,Retail
72.31,76,Medium,2020-08-02,6,Curd,Raj,949.12,22.79,21630.4448,Refrigerated,2020-06-06,2020-06-12,860,24.77,21302.2,Jharkhand,Wholesale
576.67,65,Medium,2022-09-26,5,Ice Cream,Dodla Dairy,989.92,67.01,66334.5392,Frozen,2022-09-05,2022-09-29,335,67.76,22699.6,Chandigarh,Online
207.78,63,Small,2021-04-09,3,Cheese,Passion Cheese,395.78,41.2,16306.136,Frozen,2021-04-05,2021-05-28,82,44.9,3681.8,Madhya Pradesh,Retail
131.86,72,Small,2020-04-06,9,Paneer,Mother Dairy,653.82,56.8,37136.976,Refrigerated,2020-02-12,2020-02-23,500,53.14,26570.0,Jharkhand,Retail
209.32,25,Medium,2022-09-03,7,Lassi,Mother Dairy,127.03,83.72,10634.9516,Refrigerated,2022-08-30,2022-09-15,23,83.62,1923.26,Uttar Pradesh,Online
466.47,18,Medium,2021-08-18,1,Milk,Raj,147.65,82.63,12200.3195,Tetra Pack,2021-06-19,2021-07-10,104,83.63,8697.52,Delhi,Retail
663.52,35,Large,2022-12-16,8,Buttermilk,Raj,718.71,94.86,68176.8306,Refrigerated,2022-11-10,2022-11-22,131,90.14,11808.34,West Bengal,Retail
270.92,23,Medium,2020-05-01,4,Yogurt,Palle2patnam,239.22,21.33,5102.5626,Frozen,2020-03-30,2020-04-25,104,24.84,2583.36,Madhya Pradesh,Online
275.72,79,Medium,2022-12-16,2,Butter,Amul,322.46,63.61,20511.6806,Refrigerated,2022-11-04,2022-12-09,152,60.78,9238.56,Rajasthan,Wholesale
385.57,65,Small,2019-03-23,2,Butter,Amul,300.72,35.21,10588.3512,Frozen,2019-03-09,2019-04-17,268,39.13,10486.84,Rajasthan,Online
941.26,62,Small,2022-02-11,3,Cheese,Britannia Industries,847.18,10.73,9090.2414,Refrigerated,2021-12-30,2022-03-17,329,8.29,2727.41,Madhya Pradesh,Online
409.07,33,Small,2022-10-17,4,Yogurt,Palle2patnam,277.38,49.54,13741.4052,Frozen,2022-09-26,2022-10-23,196,48.76,9556.96,Delhi,Online
